,Name,Date,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
3688,The Giver,2014,"115,430","Drama, Romance, Sci-Fi",97 ,Film,PG-13,-,None,Moderate,None,None,Mild
5876,The Beastmaster,1982,"22,218","Action, Adventure, Fantasy",118 ,Film,PG,-,Moderate,Moderate,Mild,Mild,Moderate
51,Goliath,2021,"40,575",Drama,60 ,Series,TV-MA,32,Moderate,Moderate,Severe,Severe,Moderate
5196,Big Love,2007,"20,898",Drama,60 ,Series,TV-MA,53,Moderate,Moderate,Moderate,Mild,Moderate
6011,The Banana Splits Movie,2019,"3,462","Comedy, Horror, Sci-Fi",89 ,Film,R,-,None,Severe,Moderate,Mild,Severe
6020,Bonnie and Clyde,1967,"108,427","Action, Biography, Crime",111 ,Film,R,-,Mild,Moderate,Mild,Mild,Moderate
4091,Bad Boys II,2003,"240,418","Action, Comedy, Crime",147 ,Film,R,-,Moderate,Severe,Severe,Moderate,Moderate
1558,Moonraker,1979,"95,957","Action, Adventure, Sci-Fi",126 ,Film,PG,-,Mild,Moderate,Mild,Mild,Moderate
745,Cheers,2015,"50,874","Comedy, Drama",22 ,Series,TV-PG,271,Mild,Mild,Mild,Mild,None
4753,The Polar Express,2004,"188,010","Animation, Adventure, Comedy",100 ,Film,G,-,None,None,None,None,Mild
5436,The Bad and the Beautiful,1952,"14,298","Drama, Romance",118 ,Film,Passed,-,None,None,None,Mild,Mild
1467,Crooked House,2017,"21,361","Crime, Drama, Mystery",115 ,Film,PG-13,-,None,Mild,Mild,Moderate,Mild
2127,How Green Was My Valley,1941,"22,983","Drama, Family",118 ,Film,Passed,-,None,Mild,None,Mild,Mild
195,The Matrix,1999,"1,767,660","Action, Sci-Fi",136 ,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate
4481,Now and Then,1995,"28,474","Comedy, Drama, Romance",100 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
2228,Trading Places,1983,"143,567",Comedy,116 ,Film,R,-,Moderate,Mild,Moderate,Moderate,Mild
4590,Je Suis Karl,2021,514,"Drama, Romance, Thriller",126 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
802,Van Helsing,2004,"254,911","Action, Adventure, Fantasy",131 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
1618,My Name Is Earl,1995,"98,994",Comedy,22 ,Series,TV-PG,96,Mild,Mild,Moderate,Moderate,None
3455,Mid90s,2018,"56,699","Comedy, Drama",85 ,Film,R,-,Moderate,Moderate,Severe,Severe,Moderate
4299,A Most Wanted Man,2014,"74,739","Crime, Drama, Thriller",122 ,Film,R,-,None,Mild,Moderate,Moderate,Moderate
620,Saving Private Ryan,1998,"1,296,420","Drama, War",169 ,Film,R,-,None,Severe,Moderate,Mild,Severe
5288,Inheritance,2020,"11,263","Drama, Mystery, Thriller",111 ,Film,TV-MA,-,None,Mild,Moderate,Mild,Moderate
5528,The Hours,2002,"128,263","Drama, Romance",110 ,Film,PG-13,-,None,None,Mild,Mild,Moderate
3862,The Protector,1991,"33,550","Action, Fantasy, Sci-Fi",40 ,Series,TV-MA,32,Mild,Mild,Moderate,Mild,Mild
6050,Kidding,2014,"17,339","Comedy, Drama",30 ,Series,TV-MA,20,Moderate,Mild,Moderate,Moderate,Mild
3889,Blues Brothers 2000,1998,"32,611","Action, Comedy, Crime",123 ,Film,PG-13,-,Mild,Mild,Mild,Mild,None
6067,God's Not Dead,2014,"41,889",Drama,113 ,Film,PG,-,None,Mild,None,Mild,Moderate
644,His Dark Materials,2021,"57,730","Adventure, Drama, Family",60 ,Series,TV-14,23,None,Mild,Mild,Mild,Mild
5456,Cocoon,1985,"60,414","Comedy, Drama, Sci-Fi",117 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
