,Rate
3688,6.5
5876,6.2
51,8.2
5196,7.6
6011,5.1
6020,7.8
4091,6.6
1558,6.3
745,7.9
4753,6.6
5436,7.8
1467,6.3
2127,7.7
195,8.7
4481,6.8
2228,7.5
4590,5.4
802,6.1
1618,7.7
3455,7.4
4299,6.8
620,8.6
5288,5.5
5528,7.5
3862,6.6
6050,8.0
3889,4.9
6067,4.7
644,7.9
5456,6.7
5296,7.6
5487,7.7
1061,8.1
4961,5.6
5909,6.7
120,8.1
1777,8.3
3801,7.6
3128,6.9
5703,7.4
4960,7.5
4774,6.1
1230,6.5
3270,7.5
1859,7.3
3668,6.1
5956,6.6
3779,8.0
5527,6.8
134,8.8
3685,6.6
4706,6.2
3885,6.7
2577,No Rate
4319,7.9
1721,5.3
2357,6.6
511,5.8
6162,8.1
62,6.4
3085,6.5
1553,8.0
3989,6.3
5369,4.2
2644,7.8
2836,6.9
5594,8.0
4071,5.6
2225,6.6
679,8.4
5329,6.5
1211,7.5
122,7.6
2802,6.5
1593,7.3
4205,4.8
5695,6.8
3361,6.5
1210,6.8
567,No Rate
1873,6.4
3816,6.4
548,8.1
1717,No Rate
864,6.9
5152,7.7
1392,7.8
4629,7.1
3393,6.8
2550,6.6
2149,6.8
3661,7.0
2840,6.9
720,8.4
4059,4.9
5748,5.7
690,7.1
2559,6.1
1773,6.8
602,6.7
3895,5.9
3260,6.5
4750,7.8
2770,No Rate
3655,7.7
6042,5.7
503,8.6
5278,7.5
318,8.8
5888,7.6
2776,6.5
274,8.6
5574,7.0
3018,5.8
1361,7.1
5479,6.4
1526,7.2
2513,5.7
2304,7.5
4925,7.1
3867,7.6
6016,6.4
5809,6.3
3185,6.8
5978,5.9
3926,5.4
945,7.0
4851,6.5
5950,6.7
295,No Rate
5178,5.8
2318,7.3
298,7.2
68,7.3
4516,5.9
736,8.6
1598,6.0
3612,3.5
3164,6.8
3856,6.6
1503,8.1
2271,No Rate
150,8.3
756,5.3
2164,8.7
3704,6.9
1703,7.7
5628,7.5
5965,7.2
4315,7.6
169,4.2
4325,7.1
376,6.0
4664,6.8
2525,7.2
859,6.5
4986,6.4
4951,7.9
1945,7.6
4015,7.8
2072,No Rate
378,7.5
2881,5.9
6033,6.6
1294,7.3
366,7.6
2124,7.7
1432,7.9
2865,7.2
4656,8.3
5694,6.9
1779,7.1
3966,8.1
5821,8.1
4714,6.6
1818,8.1
5990,5.4
841,7.0
5083,8.0
1189,7.3
175,7.6
3262,6.2
3829,6.8
927,8.7
3447,7.6
45,8.5
1260,6.8
1096,7.2
1443,5.4
6004,6.7
4552,6.2
3106,5.7
1187,8.3
5243,6.8
2820,6.5
1030,7.8
2399,7.9
300,8.3
1472,7.1
283,5.4
3492,6.6
2647,8.1
5840,6.7
1813,6.5
1271,5.8
4335,6.1
5900,7.8
5307,7.5
2008,7.5
3333,6.4
2476,7.9
5626,7.6
3794,8.5
99,5.2
3131,7.5
744,6.1
5715,6.3
4894,7.8
4040,7.6
6001,6.5
4347,5.2
1157,7.7
1437,6.3
4502,7.7
402,7.2
949,6.6
2067,7.6
4307,8.5
668,6.2
218,7.5
1962,7.1
5705,6.5
2666,7.5
3315,7.0
2328,7.4
4118,5.8
4051,6.4
777,8.3
3896,6.5
4401,6.4
3388,8.2
1491,6.2
4220,6.1
3646,6.4
4975,7.0
4685,7.2
4847,7.2
517,6.6
2458,7.7
4570,No Rate
5948,No Rate
3904,7.3
5673,6.2
568,5.5
360,6.4
2464,7.4
759,8.4
4522,7.0
5889,7.3
5650,6.8
214,8.3
6150,6.3
2181,7.8
5692,8.1
3210,6.6
725,5.8
2653,4.9
49,8.7
4830,6.8
887,8.2
4245,6.2
516,7.3
2284,6.6
139,8.5
2287,7.2
2574,6.0
3320,5.3
463,8.5
3501,6.4
5385,6.6
594,6.7
450,8.1
4870,7.8
2676,7.7
312,7.6
2345,6.6
3360,6.1
451,6.3
4985,6.8
890,6.4
3025,6.6
5418,8.6
4467,7.1
5780,7.3
999,8.4
3980,7.7
1476,8.4
5559,5.2
5150,6.5
5207,8.3
4447,6.7
3830,7.0
2972,5.4
5401,7.0
1293,6.0
5441,8.7
5166,7.2
1907,7.2
3977,8.3
4273,8.0
368,8.6
1937,7.7
1151,4.9
3707,5.8
3886,5.9
6080,7.8
191,No Rate
3827,2.0
174,7.8
3352,7.7
3547,8.5
4056,7.5
2233,6.8
5372,7.0
6012,6.1
2991,6.2
5815,6.8
1164,5.7
6034,7.2
2847,5.9
4596,7.5
1661,6.7
508,7.1
166,7.0
2453,7.7
4231,6.9
3737,6.3
4148,4.9
103,7.2
3382,6.4
3464,4.5
3276,7.8
1752,7.3
5513,5.5
5446,8.3
1658,7.5
152,7.5
5997,7.2
1583,6.7
2313,5.5
2715,7.5
4529,7.3
2244,7.1
2807,5.6
3337,6.6
1822,7.2
4761,7.9
3309,6.9
309,7.3
4970,7.6
5475,7.1
3317,7.7
495,8.8
205,8.9
1434,8.1
1135,8.1
868,7.8
305,6.5
1849,8.2
3765,4.3
1988,6.2
2910,5.3
1534,6.7
843,8.3
1987,8.3
3149,6.2
4063,6.6
2691,7.6
5317,5.8
1538,4.4
211,6.2
1957,7.3
3939,5.9
3937,6.2
4022,6.6
1349,7.1
2473,7.6
5798,7.2
680,8.3
180,6.6
4194,8.1
2366,6.8
3483,7.9
278,7.3
289,8.0
4631,7.9
993,8.2
2236,8.7
3217,6.5
3265,7.7
4348,6.7
4947,7.7
270,9.0
5318,4.5
5227,6.5
5935,7.8
4793,6.5
111,6.0
1391,5.3
220,7.7
4211,6.6
83,8.6
3671,7.0
5277,6.6
461,7.9
5425,6.1
551,7.5
2377,7.1
5190,7.6
3409,4.8
5079,7.3
2929,7.0
2146,5.7
3047,No Rate
2763,8.5
650,6.4
708,8.5
3996,6.3
4885,5.9
2488,6.2
1424,6.2
1216,No Rate
4710,5.5
1924,8.5
2915,6.7
2845,6.8
314,7.3
5396,5.8
1427,7.6
3098,4.8
4661,6.1
2997,6.1
4087,7.7
3400,4.3
4540,8.6
3480,5.7
6177,6.3
5952,6.0
684,7.3
4519,4.5
5003,7.5
2882,7.2
2410,6.7
326,7.7
5163,7.1
5753,7.9
2750,7.9
5338,5.4
2477,6.5
4192,7.6
3784,7.4
4391,7.5
348,7.3
1626,8.0
3410,6.4
871,7.1
5697,2.8
2788,7.4
2486,6.5
2218,6.5
4838,No Rate
2121,8.0
2549,7.6
85,No Rate
2985,6.7
1877,4.9
4871,6.9
5282,7.9
2522,6.4
494,6.2
3142,8.7
5858,5.7
5652,7.7
1270,7.3
2815,7.2
2794,6.7
5103,6.2
618,7.1
5280,7.3
3470,6.2
2780,9.5
4953,7.2
6167,5.6
5870,7.3
1413,8.1
2201,5.3
5571,8.4
4605,6.1
869,9.0
2006,7.4
4291,8.7
4267,7.6
356,6.8
1162,8.0
4687,7.2
2554,7.6
6093,5.8
1890,7.9
579,5.5
6165,6.8
5253,6.6
1691,7.9
862,8.3
4169,4.4
5654,5.9
4810,8.0
5988,No Rate
1116,6.8
