,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
316,You Proof,Morgan Wallen,1,2022,5,13,2128,9,37,88,9,0,14,120,A,Major,73,64,85,25,0,61,3
695,Adore You,Harry Styles,1,2019,12,6,13454,1,246,71,519,2,5,99,G#,Major,68,57,77,2,0,10,5
212,Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",2,2023,6,2,185,3,5,6,4,1,33,98,A#,Minor,73,45,62,28,0,13,13
79,CORAZï¿½ï¿½N VA,Maria Becerra,1,2023,6,22,370,20,12,16,18,4,93,98,C#,Major,68,40,79,33,0,30,6
148,Those Eyes,New West,1,2019,5,10,1507,14,24,71,44,1,195,120,E,Major,60,24,35,73,0,31,3
801,Crown,Kendrick Lamar,1,2022,5,13,1493,0,2,0,10,0,0,170,C#,Minor,37,14,24,80,0,11,4
672,HUMBLE.,Kendrick Lamar,1,2017,3,30,33206,1,284,114,"1,481",0,5,150,C#,Minor,91,42,60,0,0,9,12
307,I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,24,407,0,16,15,5,0,1,134,B,Minor,67,11,76,8,47,30,7
433,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2,2020,3,27,15894,8,198,13,544,0,60,103,F#,Minor,70,92,83,1,0,7,6
302,DOGTOOTH,"Tyler, The Creator",2,2023,3,27,1479,0,23,0,18,0,33,78,G#,Major,71,80,65,51,0,22,32
133,"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11,5724,44,119,108,254,29,22,122,D,Minor,78,50,63,27,0,9,5
522,Surface Pressure,Jessica Darrow,1,2021,11,19,1756,0,38,48,20,0,0,180,D,Major,65,37,58,2,0,4,31
578,Dos Oruguitas,Sebastian Yatra,1,2021,11,19,925,0,24,47,74,0,0,94,,Major,42,47,36,76,0,9,5
394,Escapism. - Sped Up,"RAYE, 070 Shake",2,2022,11,25,1368,0,12,1,11,0,8,108,F#,Minor,44,38,77,9,0,9,20
0,Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,43,263,45,10,826,125,B,Major,80,89,83,31,0,8,4
673,Stan,"Eminem, Dido",2,1999,11,21,17115,0,83,63,"4,180",0,0,80,F#,Minor,78,53,74,4,0,45,21
519,MONTERO (Call Me By Your Name),Lil Nas X,1,2020,9,18,12329,0,275,19,738,0,,179,G#,Minor,61,76,51,30,0,38,15
931,Major Distribution,"Drake, 21 Savage",2,2022,11,4,1545,0,22,7,15,0,0,131,G#,Minor,91,23,55,1,0,7,32
494,Party,"Bad Bunny, Rauw Alejandro",2,2022,5,6,3185,4,38,64,37,3,36,97,A,Major,83,47,80,2,0,24,9
425,Dream On,Aerosmith,1,1973,1,5,168,0,0,0,5,0,0,80,F,Minor,39,24,43,39,0,23,3
333,on the street (with J. Cole),"j-hope, J. Cole",2,2023,3,3,615,2,22,82,8,0,9,94,B,Minor,68,81,82,53,0,9,13
172,Do I Wanna Know?,Arctic Monkeys,1,2013,1,1,33783,26,133,92,"2,733",1,26,85,F,Major,55,42,53,17,0,22,3
125,Feliz Cumpleaï¿½ï¿½os Fe,Feid,1,2022,8,19,3430,38,45,69,52,4,3,95,F,Major,87,57,55,10,0,29,7
355,ýýý98 Braves,Morgan Wallen,1,2023,3,3,282,0,6,15,0,0,0,142,D,Major,49,48,67,10,0,26,3
944,The Astronaut,Jin,1,2022,10,28,481,9,10,100,15,1,27,125,F,Major,54,22,76,0,0,14,3
858,Boyfriends,Harry Styles,1,2022,5,20,1517,0,26,2,30,0,0,118,,Major,42,32,20,94,0,11,4
90,Fast Car,Luke Combs,1,2023,3,24,1446,12,57,97,35,0,429,98,G#,Major,71,67,60,19,0,12,3
893,Heartless,Kanye West,1,2008,1,1,17504,34,63,39,"1,315",0,2,88,A#,Minor,79,66,65,5,0,25,14
181,Fin de Semana,"Oscar Maydon, Junior H",2,2023,1,13,592,14,11,84,6,1,30,98,,Major,70,37,54,6,0,9,8
274,Shivers,Ed Sheeran,1,2021,9,9,10147,30,234,71,543,18,,141,D,Major,79,82,86,28,0,4,9
851,Daydreaming,Harry Styles,1,2022,5,20,1900,1,15,1,23,0,0,114,E,Minor,71,90,81,31,2,13,3
69,Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,32,93,8,2,5,82,G#,Major,51,22,53,1,0,15,3
291,Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,12,22,2651,30,21,55,32,3,0,94,G#,Major,89,61,66,17,0,36,16
131,OMG,NewJeans,1,2023,1,2,1783,27,26,124,15,1,22,127,A,Minor,80,74,77,36,0,11,4
300,REMIX EXCLUSIVO,Feid,1,2023,3,17,1235,9,20,8,15,0,6,87,F,Minor,65,71,56,4,0,15,20
377,Moscow Mule,Bad Bunny,1,2022,5,6,4572,33,74,113,85,9,2,100,F,Minor,80,29,67,29,0,12,3
144,QUEMA,"Sog, Ryan Castro, Peso Pluma",3,2023,7,13,437,31,17,29,26,3,208,97,,Major,79,92,89,5,0,6,5
552,Every Angel is Terrifying,The Weeknd,1,2022,1,7,715,0,0,1,2,0,0,118,,Major,44,52,94,11,0,4,29
135,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,6,2,1051,16,31,37,31,0,189,140,,Major,63,22,54,46,0,12,8
164,Save Your Tears,The Weeknd,1,2020,3,20,12688,13,197,115,112,0,200,118,,Major,68,61,82,2,0,50,3
28,Last Night,Morgan Wallen,1,2023,1,31,2420,19,52,107,15,1,325,204,F#,Major,52,52,68,46,0,15,4
534,Toxic,BoyWithUke,1,2021,9,10,1795,0,34,23,118,0,,180,G#,Minor,59,69,61,84,0,46,36
193,Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,7,86,11,3,33,3,0,1,146,B,Minor,50,67,89,0,0,19,8
531,Happier Than Ever,Billie Eilish,1,2021,7,30,8476,0,138,133,283,0,,65,,Major,31,31,24,76,0,14,4
728,Tom's Diner,"AnnenMayKantereit, Giant Rooks",2,2019,6,28,2605,0,15,48,50,0,3,98,F#,Minor,68,33,43,38,0,36,14
169,When I Was Your Man,Bruno Mars,1,2012,12,5,2420,11,0,0,806,0,0,145,,Major,60,43,27,94,0,14,4
436,Ferrari,"James Hype, Miggy Dela Rosa",2,2022,3,14,7758,28,173,79,175,0,168,125,C#,Minor,84,70,69,1,0,5,5
140,Believer,Imagine Dragons,1,2017,1,31,18986,23,250,121,"2,969",10,31,125,A#,Minor,77,74,78,4,0,23,11
173,Demons,Imagine Dragons,1,2012,1,1,26694,13,65,82,"3,425",4,13,180,D#,Major,33,38,71,20,0,28,5
6,Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,34,222,43,13,418,148,F,Minor,67,83,76,48,0,8,3
611,Ley Seca,"Anuel Aa, Jhay Cortez",2,2021,9,2,2012,0,101,12,38,0,0,105,G#,Major,76,58,84,10,0,13,10
442,Last Christmas,Wham!,1,1984,1,1,22153,0,274,111,"1,302",0,,107,B,Minor,74,88,65,28,0,46,3
73,Sweater Weather,The Neighbourhood,1,2012,5,14,16413,61,166,87,"1,056",1,,124,A#,Major,61,41,81,5,2,10,3
650,Stay Alive (Prod. SUGA of BTS),Jung Kook,1,2022,2,11,590,5,4,113,20,0,1,130,D,Minor,51,50,76,30,0,10,7
370,Love Again,The Kid Laroi,1,2023,1,27,1283,0,57,4,48,0,0,107,B,Minor,66,47,40,72,0,11,3
238,"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,2,197,0,3,10,3,0,0,101,F,Major,92,59,51,41,51,26,8
145,Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016,11,24,1275,32,13,8,5,0,1,90,F,Minor,59,52,48,38,5,10,11
755,IDGAF (with blackbear),"Blackbear, BoyWithUke",2,2022,3,18,625,0,10,2,13,0,1,98,F,Major,78,83,75,41,0,27,8
234,Niï¿½ï¿½a Bo,"Sean Paul, Feid",2,2023,4,21,1305,34,29,26,43,5,44,91,G,Major,82,47,62,10,0,10,15
220,Las Morras,"BLESSD, Peso Pluma",2,2023,4,4,291,8,8,78,4,1,1,133,A,Minor,78,90,84,31,0,7,4
423,Super Freaky Girl,Nicki Minaj,1,2022,8,12,4827,0,104,17,76,9,2,133,D,Major,95,91,89,6,0,31,24
