,streams
316,367814306
695,1439191367
212,43522589
79,43857627
148,411747614
801,42485571
672,1929770265
307,77377503
433,1802514301
302,80758350
133,721975598
522,267758538
578,167076418
394,184308753
0,141381703
673,918915401
519,1735441776
931,154863153
494,614555082
425,838586769
333,116599790
172,1788326445
125,601863821
355,56533272
944,203436468
858,137070925
90,157058870
893,887906111
181,307370144
274,1302184087
851,187703102
69,39578178
291,304118600
131,430977451
300,117206995
377,909001996
144,11599388
552,37307967
135,109276132
164,1591223784
28,429829812
534,582981380
193,30343206
531,1056760045
728,236872197
169,1661187319
436,462791599
140,2594040133
173,1840364617
6,725980112
611,355219175
442,1159176109
73,2282771485
650,246376690
370,147538971
238,32761689
145,611700552
755,197643795
234,115010040
220,127026613
423,428685680
447,663832097
132,284819874
943,112436403
881,331511413
185,47956378
41,2808096550
581,1127468248
108,838079900
481,110649992
56,256483385
363,362361576
449,690104769
535,1858144199
24,115364561
551,530511203
493,49262961
501,326792833
338,105062254
51,177740666
467,73981293
904,189476119
603,951637566
264,123132751
622,720825549
649,1210599487
549,540539717
618,465959382
18,335222234
682,154119539
866,221752937
717,2197010679
367,263453310
83,39228929
61,156338624
665,327498031
272,104992946
285,61105704
360,70069745
354,380726517
408,646886885
278,782369383
12,1316855716
182,1271293243
368,1435127549
440,1479264469
668,579395142
223,60350538
544,287201015
666,185408548
900,239411309
462,481697415
554,1445941661
580,363467642
176,1113838873
634,2159346687
675,498960285
559,421040617
942,71095708
163,621660989
248,24975653
604,956865266
842,233671263
375,309483971
74,1356565093
113,36912123
541,41924466
532,611994237
390,1065580332
104,29562220
114,1205951614
703,202677468
409,222612678
92,250305248
536,240684449
89,58054811
336,88791109
941,177503916
876,176103902
887,171788484
764,723894473
658,1202722675
582,60680939
94,38411956
11,58255150
396,323358833
583,247737946
43,1047101291
42,1109433169
329,471819764
167,1410088830
444,741301563
833,136676504
570,610045621
720,1970673297
100,882831184
426,199386237
178,726307468
416,163284000
617,489945871
839,311482393
740,75476209
177,1267333350
395,789753877
644,226897599
756,807015863
773,305650299
383,301051721
257,118810253
757,933815613
335,497225336
585,154797871
15,1163093654
3,800840817
926,235549288
256,92035115
588,850608354
722,263779030
822,244891912
914,380319238
393,1365184
222,288101651
179,3562543890
289,34502215
602,345903614
324,2420461338
689,203680270
9,553634067
249,145458418
22,1297026226
356,175399345
221,345031710
635,211372494
820,1284942608
936,218320587
915,209106362
340,144584800
431,227918678
523,74601456
793,582863434
670,252871192
203,463564958
601,263894529
445,807561936
237,488386797
93,685032533
530,656013912
878,131746175
593,1472799873
797,41210087
284,357580552
184,841749534
765,237351106
777,344055883
434,1329090101
932,191333656
153,233801632
75,1592909789
450,485285717
697,368646862
584,1699402402
277,137123880
68,14780425
446,834129063
598,1062345656
486,323437194
188,1641426668
271,885093467
236,57089066
487,317726339
117,248088961
811,300983101
512,130655803
525,539595276
721,665765558
126,1953533826
116,201660859
473,67540165
660,240769997
57,1214083358
796,382199619
867,263280370
369,236857112
268,190490915
46,1085685420
349,156777415
195,1145727611
952,96007391
794,58687425
850,238350348
263,139681964
443,769213520
643,54937991
304,58473276
341,298063749
920,159240673
149,255932395
124,330346424
749,176290831
50,107753850
353,372476382
882,219196651
142,11956641
470,429504768
399,338564981
596,783706581
320,1357608774
19,363369738
770,313113297
753,212234990
930,187701588
407,2303033973
537,583687007
591,1608045237
38,786181836
175,684675814
245,573633020
789,212351890
636,651732901
718,1200808494
817,185550869
154,1481349984
287,168448603
783,61739839
569,261414174
707,94616487
17,30546883
127,2322580122
322,972164968
255,39893489
626,593917618
918,225093344
190,367316268
115,1791000570
587,124407432
180,1131090940
301,100409613
723,339473453
679,209768491
784,283359161
652,146789379
630,1806617704
517,91656026
937,141720999
45,570515054
864,279717388
157,2011464183
708,394030335
171,94186466
16,496795686
511,200660871
48,2565529693
924,247689123
800,244741137
515,101114984
653,843309044
480,356709897
283,466231982
678,143139338
225,76767396
26,899183384
745,118381354
437,348647203
905,277132266
364,93587665
229,138517666
37,1355959075
919,84697729
374,403097450
469,395591396
921,170709584
810,184622518
692,64787943
194,405136812
813,106919680
823,132171975
503,349585590
923,723043854
790,1304313953
579,824420218
922,154356956
162,2713922350
669,675039469
152,1279434863
737,273005485
667,245400167
847,189236868
111,179659294
226,46065667
655,107255472
103,1241559043
421,195516622
419,168684524
714,153240879
586,198883004
743,178512385
119,607123776
53,57876440
151,95053634
403,1897517891
899,284216603
207,161460990
803,254218729
852,295307001
8,95217315
795,212109195
36,188933502
452,476244795
651,496311364
