Index,PassEngEr_Id,PclaSS;-,NAME,SEX
0,892.0,3.0,Kelly; Mr. James,male
1,893.0,3.0,Wilkes; Mrs. James (Ellen Needs),female
2,894.0,,Myles; Mr. Thomas Francis,
3,895.0,3.0,,male
4,896.0,3.0,Hirvonen; Mrs. Alexander (Helga E Lindqvist),female
5,897.0,3.0,Svensson; Mr. Johan Cervin,male
6,898.0,3.0,Connolly; Miss. Kate,female
7,899.0,2.0,,male
8,900.0,3.0,Abrahim; Mrs. Joseph (Sophie Halaut Easu),female
9,,3.0,Davies; Mr. John Samuel,male
10,902.0,3.0,Ilieff; Mr. Ylio,male
11,903.0,,Jones; Mr. Charles Cresson,male
12,904.0,1.0,Snyder; Mrs. John Pillsbury (Nelle Stevenson),
13,905.0,2.0,Howard; Mr. Benjamin,male
14,906.0,1.0,Chaffee; Mrs. Herbert Fuller (Carrie Constance Toogood),female
15,907.0,2.0,del Carlo; Mrs. Sebastiano (Argenia Genovesi),female
16,,2.0,Keane; Mr. Daniel,male
17,909.0,3.0,Assaf; Mr. Gerios,
18,910.0,3.0,,female
19,911.0,3.0,"Assaf Khalil; Mrs. Mariana (Miriam"")""",
20,912.0,1.0,Rothschild; Mr. Martin,male
21,913.0,3.0,Olsen; Master. Artur Karl,male
22,914.0,1.0,Flegenheim; Mrs. Alfred (Antoinette),female
23,,1.0,Williams; Mr. Richard Norris II,
24,916.0,1.0,Ryerson; Mrs. Arthur Larned (Emily Maria Borie),female
25,917.0,3.0,Robins; Mr. Alexander A,male
26,918.0,1.0,Ostby; Miss. Helene Ragnhild,female
27,919.0,3.0,,male
28,920.0,1.0,Brady; Mr. John Bertram,male
29,921.0,3.0,Samaan; Mr. Elias,male
30,922.0,2.0,Louch; Mr. Charles Alexander,
31,923.0,2.0,Jefferys; Mr. Clifford Thomas,male
32,924.0,3.0,Dean; Mrs. Bertram (Eva Georgetta Light),female
33,925.0,,"Johnston; Mrs. Andrew G (Elizabeth Lily"" Watson)""",female
34,926.0,1.0,Mock; Mr. Philipp Edmund,male
35,927.0,3.0,"Katavelas; Mr. Vassilios (Catavelas Vassilios"")""",male
36,928.0,3.0,Roth; Miss. Sarah A,female
37,929.0,3.0,,female
38,930.0,3.0,Sap; Mr. Julius,male
39,931.0,3.0,Hee; Mr. Ling,male
40,,3.0,,male
41,933.0,,Franklin; Mr. Thomas Parham,male
42,934.0,3.0,Goldsmith; Mr. Nathan,male
43,935.0,2.0,Corbett; Mrs. Walter H (Irene Colvin),female
44,936.0,,Kimball; Mrs. Edwin Nelson Jr (Gertrude Parsons),female
45,937.0,3.0,Peltomaki; Mr. Nikolai Johannes,male
46,938.0,1.0,,male
47,939.0,3.0,Shaughnessy; Mr. Patrick,male
48,940.0,1.0,Bucknell; Mrs. William Robert (Emma Eliza Ward),female
49,941.0,3.0,,female
50,942.0,1.0,Smith; Mr. Lucien Philip,male
51,,2.0,,male
52,944.0,,"Hocking; Miss. Ellen Nellie""""",female
53,945.0,1.0,Fortune; Miss. Ethel Flora,
54,946.0,2.0,Mangiavacchi; Mr. Serafino Emilio,
55,947.0,3.0,Rice; Master. Albert,male
