Index,age .,Sib_Sp,PaRch__,TickEt,Fare,cabin,Embarked::
0,34.5,0,0,330911,7.8292,,Q
1,47.0,1,0,363272,7.0,,S
2,,0,0,240276,9.6875,,Q
3,27.0,0,0,315154,8.6625,,S
4,22.0,1,1,3101298,12.2875,,S
5,14.0,0,0,7538,9.225,,S
6,30.0,0,0,330972,7.6292,,Q
7,26.0,1,1,248738,,,S
8,18.0,0,0,2657,7.2292,,C
9,21.0,2,0,A/4 48871,24.15,,S
10,,0,0,349220,7.8958,,S
11,46.0,0,0,694,26.0,,S
12,23.0,1,0,21228,82.2667,B45,S
13,63.0,1,0,24065,,,S
14,47.0,1,0,W.E.P. 5734,61.175,E31,S
15,,1,0,SC/PARIS 2167,27.7208,,C
16,35.0,0,0,233734,,,Q
17,21.0,0,0,2692,7.225,,C
18,27.0,1,0,STON/O2. 3101270,7.925,,S
19,45.0,0,0,2696,,,C
20,55.0,1,0,PC 17603,59.4,,C
21,9.0,0,1,C 17368,3.1708,,S
22,,0,0,PC 17598,31.6833,,S
23,21.0,0,1,PC 17597,,,C
24,,1,3,PC 17608,262.375,B57 B59 B63 B66,C
25,50.0,1,0,A/5. 3337,,,S
26,22.0,0,1,113509,61.9792,B36,C
27,22.5,0,0,2698,7.225,,C
28,41.0,0,0,113054,30.5,A21,S
29,,2,0,2662,21.6792,,C
30,50.0,1,0,SC/AH 3085,,,S
31,,2,0,C.A. 31029,31.5,,S
32,33.0,1,2,C.A. 2315,20.575,,S
33,,1,2,W./C. 6607,23.45,,S
34,30.0,1,0,13236,,C78,C
35,18.5,0,0,2682,7.2292,,C
36,,0,0,342712,8.05,,S
37,,0,0,315087,8.6625,,S
38,25.0,0,0,345768,9.5,,S
39,,0,0,1601,56.4958,,S
40,39.0,0,1,349256,13.4167,,C
41,,0,0,113778,26.55,D34,S
42,41.0,0,0,SOTON/O.Q. 3101263,7.85,,S
43,30.0,0,0,237249,13.0,,S
44,45.0,1,0,11753,52.5542,D19,S
45,25.0,0,0,STON/O 2. 3101291,7.925,,S
46,45.0,0,0,PC 17594,29.7,A9,C
47,,0,0,370374,7.75,,Q
48,60.0,0,0,11813,76.2917,D15,C
49,36.0,0,2,C.A. 37671,15.9,,S
50,24.0,1,0,13695,60.0,C31,S
51,27.0,0,0,SC/PARIS 2168,15.0333,,C
52,20.0,2,1,29105,23.0,,S
53,28.0,3,2,19950,263.0,C23 C25 C27,S
54,,0,0,SC/A.3 2861,15.5792,,C
55,,4,1,382652,,,Q
56,35.0,0,0,349230,7.8958,,S
57,25.0,0,0,348122,7.65,F G63,S
58,,1,0,386525,16.1,,S
59,36.0,0,0,PC 17608,262.375,B61,C
60,17.0,0,0,349232,7.8958,,S
61,32.0,0,0,237216,13.5,,S
62,18.0,0,0,347090,,,S
63,22.0,0,0,334914,7.725,,Q
64,13.0,2,2,PC 17608,262.375,B57 B59 B63 B66,C
65,,0,0,F.C.C. 13534,,,S
66,18.0,0,0,330963,7.8792,,Q
67,47.0,0,0,113796,42.4,,S
68,31.0,0,0,2543,28.5375,C53,C
69,60.0,1,4,19950,263.0,C23 C25 C27,S
70,24.0,0,0,382653,7.75,,Q
71,21.0,0,0,349211,7.8958,,S
72,,0,0,3101297,7.925,,S
73,28.5,0,0,PC 17562,27.7208,D43,C
74,35.0,0,0,113503,211.5,C130,C
75,32.5,0,0,113503,211.5,C132,C
76,,0,0,359306,8.05,,S
77,55.0,2,0,11770,25.7,C101,S
78,30.0,0,0,248744,13.0,,S
79,24.0,0,0,368702,7.75,,Q
80,6.0,1,1,2678,15.2458,,C
81,67.0,1,0,PC 17483,,C55 C57,S
82,49.0,0,0,19924,26.0,,S
83,,0,0,349238,7.8958,,S
84,,0,0,240261,10.7083,,Q
85,,1,0,2660,14.4542,,C
86,,0,0,330844,7.8792,,Q
87,18.0,0,0,A/4 31416,8.05,,S
88,,0,0,364856,7.75,,Q
89,2.0,1,1,29103,23.0,,S
90,22.0,1,0,347072,13.9,,S
91,,0,0,345498,,,S
92,27.0,1,2,F.C. 12750,52.0,B71,S
93,,0,0,376563,8.05,,S
94,25.0,0,0,13905,26.0,,C
95,25.0,0,0,350033,,,S
96,76.0,1,0,19877,78.85,C46,S
97,29.0,0,0,STON/O 2. 3101268,7.925,,S
98,20.0,0,0,347471,7.8542,,S
99,,0,0,A./5. 3338,8.05,,S
100,43.0,1,0,11778,55.4417,C116,C
101,27.0,1,0,228414,26.0,,S
102,,0,0,365235,7.75,,Q
103,26.0,0,0,347070,,,S
104,16.0,1,1,2625,8.5167,,C
105,28.0,0,0,C 4001,22.525,,S
106,21.0,0,0,330920,7.8208,,Q
107,,0,0,383162,7.75,,Q
108,,0,0,3410,8.7125,,S
109,18.5,0,0,248734,13.0,F,S
110,41.0,0,0,237734,15.0458,,C
111,,0,0,330968,7.7792,,Q
112,36.0,0,0,PC 17531,31.6792,A29,C
113,18.5,0,0,329944,7.2833,,Q
114,,1,0,PC 17483,221.7792,C55 C57,S
115,18.0,1,0,2680,14.4542,,C
116,,0,0,2681,6.4375,,C
117,1.0,1,1,PP 9549,16.7,G6,S
118,36.0,0,0,13050,75.2417,C6,C
119,29.0,1,0,SC/AH 29037,,,S
120,12.0,0,0,C.A. 33595,15.75,,S
121,,1,0,367227,7.75,,Q
122,35.0,1,0,13236,,C28,C
123,28.0,0,0,392095,7.25,,S
124,,0,0,368783,7.75,,Q
125,,0,1,371362,16.1,,S
126,22.0,0,0,350045,7.7958,,S
127,,2,0,367226,23.25,,Q
128,,0,0,211535,13.0,,S
129,24.0,0,0,342441,8.05,,S
130,,0,0,STON/OQ. 369943,8.05,,S
131,,0,0,113780,28.5,C51,C
132,,0,4,4133,25.4667,,S
133,,1,0,2621,6.4375,,C
134,43.0,0,0,349226,7.8958,,S
135,,0,0,350409,7.8542,,S
136,26.5,0,0,2656,7.225,,C
137,26.0,0,0,248659,13.0,,S
138,23.0,0,0,SOTON/OQ 392083,,,S
139,40.0,1,6,CA 2144,,,S
140,10.0,5,2,CA 2144,46.9,,S
141,33.0,0,0,113781,151.55,,S
142,61.0,1,3,PC 17608,,B57 B59 B63 B66,C
143,28.0,0,0,244358,26.0,,S
144,42.0,0,0,17475,26.55,,S
145,31.0,3,0,345763,18.0,,S
146,,0,0,17463,,E46,S
147,,0,0,SC/A4 23568,8.05,,S
148,,0,0,113791,,,S
149,30.0,1,1,250651,26.0,,S
150,23.0,0,1,11767,83.1583,C54,C
151,,0,0,349255,7.8958,,C
152,60.5,0,0,3701,,,S
153,36.0,0,2,350405,12.1833,,S
154,13.0,4,2,347077,31.3875,,S
155,24.0,0,0,S.O./P.P. 752,7.55,,S
156,29.0,0,0,PC 17483,221.7792,C97,S
157,,0,0,347469,7.8542,,S
158,42.0,0,0,110489,26.55,D22,S
159,26.0,0,2,SOTON/O.Q. 3101315,13.775,,S
160,,0,0,335432,7.7333,,Q
161,,1,1,2650,15.2458,,C
162,26.0,0,0,220844,13.5,,S
163,,0,0,343271,7.0,,S
164,41.0,0,0,237393,13.0,,S
165,26.0,1,1,315153,22.025,,S
166,48.0,0,0,PC 17591,50.4958,B10,C
167,18.0,2,2,W./C. 6608,34.375,,S
168,,0,0,17770,27.7208,,C
169,22.0,0,0,7548,8.9625,,S
170,,0,0,S.O./P.P. 251,7.55,,S
171,27.0,0,0,2670,,,C
172,,1,0,347072,13.9,,S
173,,0,0,2673,7.2292,,C
174,40.0,1,5,347077,31.3875,,S
175,15.0,0,2,29750,39.0,,S
176,20.0,0,0,C.A. 33112,36.75,,S
177,,1,0,11778,55.4417,C116,C
178,36.0,0,3,230136,39.0,F4,S
179,,0,2,PC 17756,83.1583,E45,C
180,30.0,0,0,233478,13.0,,S
181,37.0,1,1,PC 17756,83.1583,E52,C
182,18.0,1,0,113773,53.1,D30,S
183,,0,0,7935,7.75,,Q
184,27.0,1,1,PC 17558,,B58 B60,C
185,40.0,0,0,239059,16.0,,S
186,21.0,0,1,S.O./P.P. 2,21.0,,S
187,17.0,2,0,A/4 48873,8.05,,S
188,,8,2,CA. 2343,69.55,,S
189,40.0,0,0,28221,13.0,,S
190,34.0,1,0,226875,,,S
191,,0,0,111163,26.0,,S
192,11.5,1,1,A/5. 851,14.5,,S
193,61.0,0,0,235509,12.35,,Q
194,8.0,0,2,28220,32.5,,S
195,33.0,0,0,347465,7.8542,,S
196,6.0,0,2,16966,134.5,E34,C
197,18.0,0,0,347066,7.775,,S
198,,0,0,C.A. 31030,10.5,,S
199,,0,0,65305,8.1125,,S
200,,0,0,36568,,,Q
201,0.33,0,2,347080,14.4,,S
202,47.0,1,0,PC 17757,227.525,C62 C64,C
203,8.0,1,1,26360,26.0,,S
204,25.0,0,0,C.A. 34050,10.5,,S
205,,0,0,F.C. 12998,25.7417,,C
206,35.0,0,0,9232,7.75,,Q
207,24.0,0,0,28034,10.5,,S
208,33.0,0,0,PC 17613,,A11,C
209,25.0,0,0,349250,7.8958,,S
210,32.0,0,0,C 4001,22.525,,S
211,,0,0,SOTON/O.Q. 3101308,7.05,,S
212,17.0,0,0,S.O.C. 14879,73.5,,S
213,60.0,1,0,24065,26.0,,S
214,38.0,4,2,347091,7.775,,S
215,42.0,0,0,113038,42.5,B11,S
216,,0,0,330924,7.8792,,Q
217,57.0,1,1,36928,164.8667,,S
218,50.0,1,1,113503,211.5,C80,C
219,,0,0,32302,8.05,,S
220,30.0,1,0,SC/PARIS 2148,13.8583,,C
221,21.0,0,0,342684,8.05,,S
222,22.0,0,0,W./C. 14266,10.5,F33,S
223,,0,0,350053,,,S
224,53.0,0,0,PC 17606,27.4458,,C
225,,0,2,2661,15.2458,,C
226,23.0,0,0,350054,7.7958,,S
227,,0,0,370368,7.75,,Q
228,40.5,0,0,C.A. 6212,15.1,,S
229,36.0,0,0,242963,13.0,,S
230,14.0,0,0,220845,65.0,,S
231,21.0,0,0,113795,26.55,,S
232,21.0,1,0,3101266,6.4958,,S
233,,0,0,330971,7.8792,,Q
234,39.0,1,0,PC 17599,71.2833,C85,C
235,20.0,0,0,350416,7.8542,,S
236,64.0,1,0,110813,75.25,D37,C
237,20.0,0,0,2679,7.225,,C
238,18.0,1,1,250650,13.0,,S
239,48.0,1,0,PC 17761,106.425,C86,C
240,55.0,0,0,112377,27.7208,,C
241,45.0,0,2,237789,30.0,,S
242,45.0,1,1,16966,134.5,E34,C
243,,0,0,3470,7.8875,,S
244,,1,2,W./C. 6607,23.45,,S
245,41.0,1,0,17464,51.8625,D21,S
246,22.0,0,0,F.C.C. 13534,21.0,,S
247,42.0,1,1,28220,32.5,,S
248,29.0,1,0,26707,26.0,,S
249,,1,0,2660,14.4542,,C
250,0.92,1,2,C.A. 34651,27.75,,S
251,20.0,0,0,SOTON/O2 3101284,7.925,,S
252,27.0,1,0,13508,136.7792,C89,C
253,24.0,0,0,7266,9.325,,S
254,,0,0,345775,9.5,,S
255,,0,0,C.A. 42795,7.55,,S
256,,0,0,AQ/4 3130,7.75,,Q
257,28.0,0,0,363611,8.05,,S
258,,0,0,28404,,,S
259,21.0,0,0,345501,7.775,,S
260,36.5,1,0,345572,17.4,,S
261,21.0,0,0,350410,7.8542,,S
262,29.0,0,2,29103,23.0,,S
263,1.0,1,1,350405,12.1833,,S
264,,0,0,C.A. 34644,12.7375,,C
265,,0,0,349235,7.8958,,S
266,,0,0,112051,0.0,,S
267,,0,0,C.A. 49867,7.55,,S
268,,0,0,A. 2. 39186,8.05,,S
269,17.0,0,0,315095,8.6625,,S
270,46.0,0,0,13050,75.2417,C6,C
271,,0,0,368573,7.75,,Q
272,26.0,1,0,13508,136.7792,C89,C
273,,1,0,370371,15.5,,Q
274,,0,0,2676,7.225,,C
275,20.0,1,0,236853,26.0,,S
276,28.0,0,0,SC 14888,10.5,,S
277,40.0,1,0,2926,26.0,,S
278,30.0,1,0,CA 31352,21.0,,S
279,22.0,0,0,W./C. 14260,10.5,,S
280,23.0,0,0,315085,8.6625,,S
281,0.75,1,1,SOTON/O.Q. 3101315,13.775,,S
282,,0,0,364859,7.75,,Q
283,,1,1,2650,15.2458,,C
284,2.0,1,1,370129,20.2125,,S
285,36.0,0,0,A/5 21175,7.25,,S
286,,0,0,SOTON/O.Q. 3101314,7.25,,S
287,24.0,1,0,21228,82.2667,B45,S
288,,0,0,2655,,F E46,C
289,,0,0,A/5 1478,8.05,,S
290,,0,0,PC 17607,39.6,,S
291,30.0,0,0,382650,6.95,,Q
292,,0,0,2652,,,C
293,53.0,1,1,33638,81.8583,A34,S
294,36.0,0,0,345771,9.5,,S
295,26.0,0,0,349202,7.8958,,S
296,1.0,1,2,SC/Paris 2123,,,C
297,,2,0,2662,21.6792,,C
298,30.0,0,0,113801,45.5,,S
299,,0,0,347467,7.8542,,S
300,32.0,0,0,347079,7.775,,S
301,,0,0,237735,15.0458,D,C
302,43.0,0,1,S.O./P.P. 2,21.0,,S
303,24.0,0,0,315092,8.6625,,S
304,,0,0,383123,,,Q
305,64.0,1,1,112901,,B26,S
306,,1,2,113781,151.55,C22 C26,S
307,,0,1,392091,,,S
308,55.0,1,1,12749,,B69,S
309,45.0,1,0,350026,14.1083,,S
310,18.0,0,0,315091,8.6625,,S
311,22.0,0,0,2658,7.225,,C
312,,0,0,LP 1588,7.575,,S
313,37.0,0,0,368364,7.75,,Q
314,,0,0,PC 17760,135.6333,C32,C
315,17.0,0,0,AQ/3. 30631,7.7333,,Q
316,57.0,1,0,PC 17569,,B78,C
317,19.0,0,0,28004,10.5,,S
318,27.0,0,0,350408,7.8542,,S
319,,2,0,C.A. 31029,31.5,,S
320,26.0,0,0,347075,7.775,,S
321,25.0,0,0,2654,7.2292,F E57,C
322,26.0,0,0,244368,13.0,F2,S
323,33.0,0,0,113790,,,S
324,39.0,0,0,24160,211.3375,,S
325,,0,0,SOTON/O.Q. 3101309,7.05,,S
326,12.0,2,1,230136,39.0,F4,S
327,46.0,0,0,PC 17585,79.2,,C
328,29.0,1,0,2003,26.0,,S
329,21.0,0,0,236854,13.0,,S
330,48.0,0,2,C.A. 33112,36.75,,S
331,39.0,0,0,PC 17580,29.7,A18,C
332,,0,0,2684,7.225,,C
333,19.0,1,1,2653,15.7417,,C
334,27.0,0,0,349229,7.8958,,S
335,30.0,0,0,110469,26.0,C106,S
336,32.0,0,0,244360,13.0,,S
337,39.0,0,2,2675,7.2292,,C
338,25.0,0,0,C.A. 31029,31.5,,S
339,,0,0,2622,7.2292,,C
340,18.0,0,0,C.A. 15185,,,S
341,32.0,0,0,350403,7.5792,,S
342,,1,9,CA. 2343,69.55,,S
343,58.0,0,1,PC 17755,512.3292,B51 B53 B55,C
344,,1,1,A/5. 851,14.5,,S
345,16.0,0,0,348125,7.65,,S
346,26.0,0,0,237670,13.0,,S
347,,0,0,2688,7.2292,,C
348,24.0,0,0,248726,13.5,,S
349,31.0,0,0,F.C.C. 13528,21.0,,S
350,45.0,0,1,PC 17759,63.3583,D10 D12,C
351,25.0,0,0,F.C.C. 13540,10.5,,S
352,18.0,0,0,S.O.C. 14879,73.5,,S
353,49.0,1,2,220845,,,S
354,0.17,1,2,C.A. 2315,20.575,,S
355,50.0,0,0,113044,26.0,E60,S
356,59.0,2,0,11769,51.4792,C101,S
357,,0,0,1222,7.8792,,S
358,,0,0,368402,7.75,,Q
359,30.0,1,0,349910,15.55,,S
360,14.5,8,2,CA. 2343,69.55,,S
361,24.0,1,1,S.C./PARIS 2079,37.0042,,C
362,31.0,0,0,CA 31352,21.0,,S
363,27.0,0,0,315083,8.6625,,S
364,25.0,1,0,11765,55.4417,E50,C
365,,1,9,CA. 2343,69.55,,S
366,,1,0,2689,14.4583,,C
367,22.0,0,0,3101295,39.6875,,S
368,45.0,0,1,112378,59.4,,C
369,29.0,0,0,SC/PARIS 2147,13.8583,,C
370,21.0,1,0,28133,11.5,,S
371,31.0,0,0,16966,134.5,E39 E41,C
372,49.0,0,0,112058,0.0,B52 B54 B56,S
373,44.0,0,0,248746,13.0,,S
374,54.0,1,1,33638,,A34,S
375,45.0,0,0,PC 17608,262.375,,C
376,22.0,2,0,315152,8.6625,,S
377,21.0,0,0,29107,11.5,,S
378,55.0,0,0,680,,C39,S
379,,4,2,347077,31.3875,,S
380,,0,0,366713,7.75,,Q
381,26.0,0,0,330910,7.8792,,Q
382,,0,0,364498,14.5,,S
383,19.0,1,0,376566,16.1,,S
384,,0,0,SC/PARIS 2159,12.875,,S
385,24.0,1,2,220845,65.0,,S
386,24.0,0,0,349911,7.775,,S
387,57.0,0,0,244346,13.0,,S
388,21.0,0,0,364858,7.75,,Q
389,6.0,3,1,349909,21.075,,S
390,23.0,0,0,12749,93.5,B24,S
391,,0,1,PC 17592,39.4,D28,S
392,13.0,0,2,C.A. 2673,20.25,,S
393,47.0,0,0,C.A. 30769,10.5,,S
394,29.0,3,1,315153,22.025,,S
395,18.0,1,0,13695,60.0,C31,S
396,24.0,0,0,371109,7.25,,Q
397,48.0,1,1,13567,79.2,B41,C
398,22.0,0,0,347065,7.775,,S
399,31.0,0,0,21332,7.7333,,Q
400,,0,0,36928,164.8667,C7,S
401,38.0,1,0,28664,21.0,,S
402,22.0,0,1,112378,59.4,,C
403,17.0,0,0,113059,47.1,,S
404,43.0,1,0,17765,27.7208,D40,C
405,20.0,0,0,SC/PARIS 2166,13.8625,D38,C
406,23.0,1,0,28666,10.5,,S
407,50.0,1,1,113503,211.5,C80,C
408,,0,0,334915,7.7208,,Q
409,3.0,1,1,SOTON/O.Q. 3101315,13.775,,S
410,,0,0,365237,7.75,,Q
411,37.0,1,0,19928,90.0,C78,Q
412,28.0,0,0,347086,7.775,,S
413,,0,0,A.5. 3236,8.05,,S
414,39.0,0,0,PC 17758,108.9,C105,C
415,38.5,0,0,SOTON/O.Q. 3101262,7.25,,S
416,,0,0,359309,8.05,,S
417,,1,1,2668,22.3583,,C
